OBJECTID,GlobalID,Uniq_Id,State_Code,District_C,Tehsil_Cod,Block_Code,Village_Co,LGD_Code,Built_Up_A,Village_Na,Area_Desc,Name,Owner_Name,Property_I,Property_C,Area_Sqm,Roof_type,No_Floors,Remarks,Adl_Info,SHAPE_Leng,SHAPE_Area,GP_Code,GP_Name
"57549",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,21.45570371800,"1","1",,,22.01245177990,27.90845279440,"63317",KALONDA
"57550",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,67.56941263830,"1","1",,,37.64056147670,87.89088061490,"63317",KALONDA
"57551",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,14.43400343910,"1","1",,,17.41683423340,18.77499053410,"63317",KALONDA
"57552",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,13.76458620590,"1","1",,,17.14120902620,17.90426136910,"63317",KALONDA
"57553",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,14.80323852520,"1","1",,,17.79365018560,19.25515833820,"63317",KALONDA
"57554",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,19.95359888400,"4","1",,,21.08322241030,25.95321998210,"63317",KALONDA
"57555",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,14.75605334500,"4","1",,,17.71494784600,19.19290627860,"63317",KALONDA
"57556",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,14.21595805830,"1","1",,,17.62240186050,18.49041709510,"63317",KALONDA
"57557",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,22.49287173560,"1","1",,,21.70635902270,29.25602083580,"63317",KALONDA
"57558",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,19.72800811030,"1","2",,,20.95565416100,25.66024716450,"63317",KALONDA
"57559",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,3.06918168458,"3","1",,,8.87411635511,3.99193399856,"63317",KALONDA
"57560",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,7.47548115369,"4","1",,,13.33621166960,9.72284052716,"63317",KALONDA
